Date,Open,High,Low,Close,Volume
5/20/2021,33906.3,34233.4,33872.41,34084.15,320150000
5/19/2021,33945.81,33945.81,33473.8,33896.04,348480000
5/18/2021,34351.18,34408.99,34044.1,34060.66,289590000
5/17/2021,34375.29,34383.84,34176.65,34327.79,291910000
5/14/2021,34050.86,34454.05,34050.86,34382.13,303230000
5/13/2021,33624.74,34181.77,33623.49,34021.45,350820000
5/12/2021,34206.4,34207.87,33555.22,33587.66,381350000
5/11/2021,34572.74,34572.74,34075.31,34269.16,413180000
5/10/2021,34785.27,35091.56,34741.57,34742.82,361620000
5/7/2021,34578.27,34811.39,34464.31,34777.76,303400000
5/6/2021,34245.11,34561.29,34185.06,34548.53,315430000
5/5/2021,34163.99,34331.2,34039.66,34230.34,253180000
5/4/2021,34080.2,34147.78,33765.68,34133.03,407860000
5/3/2021,33904.89,34221.06,33904.89,34113.23,289770000
4/30/2021,33988.75,33988.75,33784.96,33874.85,374890000
4/29/2021,33855.64,34087.21,33744.28,34060.36,408450000
4/28/2021,33860.46,33946.6,33805.56,33820.38,335820000
4/27/2021,33932.13,34043.98,33870.46,33984.93,289030000
4/26/2021,34044.23,34148.94,33941.37,33981.57,279300000
4/23/2021,33804.52,34157.57,33713.29,34043.49,346380000
4/22/2021,34109.88,34126.57,33717.19,33815.9,344470000
4/21/2021,33808.3,34160.34,33773.8,34137.31,290300000
4/20/2021,34034.18,34034.18,33687.01,33821.3,350960000
4/19/2021,34182.38,34182.38,33980.56,34077.63,312540000
4/16/2021,34058.16,34256.75,34058.16,34200.67,343760000
4/15/2021,33788.53,34068.73,33788.53,34035.99,319680000
4/14/2021,33668.95,33911.25,33668.95,33730.89,315330000
4/13/2021,33721.16,33741.64,33545.84,33677.27,324480000
4/12/2021,33775.06,33786.19,33665.54,33745.4,327370000
4/9/2021,33526.19,33810.87,33526.19,33800.6,316410000
4/8/2021,33469.89,33506.8,33342.64,33503.57,304040000
4/7/2021,33444.98,33521.76,33347.96,33446.26,273440000
4/6/2021,33500.02,33544.79,33380.43,33430.24,297940000
4/5/2021,33222.38,33617.95,33222.38,33527.19,344270000
4/1/2021,33054.58,33167.17,32985.35,33153.21,311880000
3/31/2021,33116.04,33173.77,32980.57,32981.55,414140000
3/30/2021,33127.88,33170.93,32988.92,33066.96,307510000
3/29/2021,33087.55,33259,32905.13,33171.37,351610000
3/26/2021,32681.07,33098.83,32681.07,33072.88,382170000
3/25/2021,32346.81,32672.69,32071.41,32619.48,411990000
3/24/2021,32470.88,32787.99,32418.15,32420.06,399390000
3/23/2021,32691.5,32753.77,32356.28,32423.15,385840000
3/22/2021,32601.82,32810.35,32512.53,32731.2,383500000
3/19/2021,32858.36,32858.36,32505.07,32627.97,811890000
3/18/2021,32928.16,33227.78,32831.25,32862.3,418480000
3/17/2021,32825.52,33047.58,32782.18,33015.37,391200000
3/16/2021,32966.75,32966.75,32778.23,32825.95,386370000
3/15/2021,32798.84,32973.4,32629.75,32953.46,360080000
3/12/2021,32462.4,32793.32,32462.4,32778.64,346400000
3/11/2021,32354.5,32661.59,32345.7,32485.59,400020000
3/10/2021,31906.96,32389.5,31906.96,32297.02,409110000
3/9/2021,31892.35,32150.32,31822.64,31832.74,458690000
3/8/2021,31512.15,32148.04,31512.15,31802.44,496980000
3/5/2021,31029.18,31580.33,30766.81,31496.3,501810000
3/4/2021,31289.01,31461.97,30547.53,30924.14,537850000
3/3/2021,31352.96,31563.31,31260.14,31270.09,409660000
3/2/2021,31535.37,31623.27,31377.16,31391.52,337270000
3/1/2021,31065.9,31668.34,31065.9,31535.51,385670000
2/26/2021,31401.29,31450.89,30911.37,30932.37,532250000
2/25/2021,31955.94,31984.77,31293.32,31402.01,454110000
2/24/2021,31499.75,32009.64,31421.29,31961.86,410150000
2/23/2021,31501.89,31653.38,31158.76,31537.35,460410000
2/22/2021,31381.12,31653.48,31286.57,31521.69,387210000
2/19/2021,31504.13,31647.53,31469.34,31494.32,353070000
2/18/2021,31558.6,31558.6,31285.32,31493.34,325990000
2/17/2021,31485.61,31643.7,31338.76,31613.02,343510000
2/16/2021,31472.08,31608.63,31443.48,31522.75,329210000
2/12/2021,31420.8,31475.31,31347.8,31458.4,263090000
2/11/2021,31466.49,31543.82,31244.36,31430.7,280320000
2/10/2021,31428.02,31511.44,31221.32,31437.8,326450000
2/9/2021,31359.88,31439.47,31245.86,31375.83,308210000
2/8/2021,31191.2,31386.1,31191.2,31385.76,322250000
2/5/2021,31093.81,31252.18,31083.22,31148.24,293550000
2/4/2021,30737.78,31065.96,30737.78,31055.86,338330000
2/3/2021,30689.65,30793.41,30521.31,30723.6,305590000
2/2/2021,30276.88,30840.54,30276.88,30687.48,333160000
2/1/2021,30054.73,30335.91,30014.97,30211.91,347060000
1/29/2021,30553.91,30553.91,29856.3,29982.62,536320000
1/28/2021,30377.19,30951.41,30377.19,30603.36,465140000
1/27/2021,30893.78,30893.78,30206.91,30303.17,566470000
1/26/2021,30968.55,31121.42,30921.71,30937.04,373150000
1/25/2021,30989.85,30989.85,30564.06,30960,472890000
1/22/2021,31141.56,31141.56,30908.47,30996.98,436040000
1/21/2021,31198.01,31272.22,31120.92,31176.01,418780000
1/20/2021,31017.54,31235.98,30997.79,31188.38,384980000
1/19/2021,30887.42,31086.62,30865.03,30930.52,386400000
1/15/2021,30926.77,30941.98,30612.67,30814.26,433000000
1/14/2021,31085.67,31223.78,30982.24,30991.52,427810000
1/13/2021,31084.88,31153.37,30992.05,31060.47,413250000
1/12/2021,31015.01,31114.56,30888.76,31068.69,362620000
1/11/2021,31015.37,31096.98,30832.06,31008.69,356540000
1/8/2021,31069.58,31140.67,30793.27,31097.97,381150000
1/7/2021,30901.18,31193.4,30897.86,31041.13,427810000
1/6/2021,30362.78,31022.65,30313.07,30829.4,500430000
1/5/2021,30204.25,30504.89,30141.78,30391.6,350910000
1/4/2021,30627.47,30674.28,29881.82,30223.89,475080000
12/31/2020,30417.64,30637.47,30344.5,30606.48,284470000
12/30/2020,30415.09,30525.35,30393.04,30409.56,291890000
12/29/2020,30492.07,30588.79,30274.24,30335.67,357610000
12/28/2020,30283.23,30525.56,30283.23,30403.97,302490000
12/24/2020,30155.92,30209.67,30099.3,30199.87,145570000
12/23/2020,30046.73,30292.53,30046.73,30129.83,274050000
12/22/2020,30200.2,30200.2,29992.89,30015.51,388810000
12/21/2020,30159,30304.14,29755.53,30216.45,437480000
12/18/2020,30314.26,30343.59,30029.44,30179.05,782070000
12/17/2020,30216,30323.78,30216,30303.37,345530000
12/16/2020,30191.38,30236.03,30080.11,30154.54,344590000
12/15/2020,29919.09,30243.26,29894.95,30199.31,417770000
12/14/2020,30123.91,30325.79,29849.15,29861.55,371980000
12/11/2020,29988.21,30071.13,29820.84,30046.37,393870000
12/10/2020,30032.55,30063.87,29876.82,29999.26,325550000
12/9/2020,30229.81,30319.7,29951.85,30068.81,380520000
12/8/2020,29997.95,30246.22,29972.07,30173.88,311190000
12/7/2020,30233.03,30233.03,29967.22,30069.79,365810000
12/4/2020,29989.56,30218.26,29989.56,30218.26,356590000
12/3/2020,29920.83,30110.88,29877.27,29969.52,405680000
12/2/2020,29695.09,29902.51,29599.29,29883.79,385280000
12/1/2020,29797.5,30083.31,29797.5,29823.92,429510000
11/30/2020,29854.51,29854.51,29463.64,29638.64,551350000
11/27/2020,29911.33,30015.13,29819.98,29910.37,177040000
11/25/2020,30058.87,30058.87,29806.25,29872.47,323030000
11/24/2020,29746.11,30116.51,29746.11,30046.24,432760000
11/23/2020,29332.82,29667.75,29332.82,29591.27,387200000
11/20/2020,29437.57,29469.89,29231.2,29263.48,305350000
11/19/2020,29370.92,29524.9,29228.38,29483.23,331330000
11/18/2020,29875.4,29930.85,29432.84,29438.42,382850000
11/17/2020,29800.15,29872.42,29520.29,29783.35,372380000
11/16/2020,29672.36,29964.29,29672.36,29950.44,418290000
11/13/2020,29203.9,29559.25,29203.9,29479.81,348810000
11/12/2020,29231.91,29311.83,28902.13,29080.17,369320000
11/11/2020,29524.35,29593.11,29281.22,29397.63,376700000
11/10/2020,29254.17,29478.86,29126.99,29420.92,526980000
11/9/2020,29467.9,29933.83,29130.66,29157.97,673310000
11/6/2020,28399.13,28431.96,28189.5,28323.4,326710000
11/5/2020,28083.37,28495.05,28083.37,28390.18,390140000
11/4/2020,27512.83,28301.5,27512.83,27847.66,447860000
11/3/2020,27138.69,27640.21,27138.69,27480.03,350980000
11/2/2020,26691.28,27043.48,26691.28,26925.05,379990000
10/30/2020,26572.27,26639.18,26143.77,26501.6,504820000
10/29/2020,26480.98,26891.89,26290.78,26659.11,419770000
10/28/2020,27102.14,27102.14,26497.39,26519.95,496150000
10/27/2020,27651.18,27707.69,27457.96,27463.19,366400000
10/26/2020,28185.82,28185.82,27370.16,27685.38,404150000
10/23/2020,28409.65,28436.52,28149.82,28335.57,347300000
10/22/2020,28197.42,28421.31,28040.18,28363.66,330320000
10/21/2020,28270.66,28450.64,28196.39,28210.82,299420000
10/20/2020,28245.85,28575.03,28243.04,28308.79,350220000
10/19/2020,28633.55,28711.93,28139.4,28195.42,358700000
10/16/2020,28570.72,28842.9,28570.72,28606.31,356140000
10/15/2020,28323.4,28535.85,28181.54,28494.2,328940000
10/14/2020,28731.3,28792.56,28461.73,28514,370800000
10/13/2020,28764.95,28808.84,28604.35,28679.81,526110000
10/12/2020,28671.12,28957.9,28659.67,28837.52,493680000
10/9/2020,28533.61,28676.29,28440.63,28586.9,324050000
10/8/2020,28348.86,28459.13,28265.56,28425.51,314750000
10/7/2020,27971.36,28369.66,27971.36,28303.46,328750000
10/6/2020,28214.24,28354.48,27728.03,27772.76,435030000
10/5/2020,27825.42,28162.64,27825.42,28148.64,318210000
10/2/2020,27536.39,27861.43,27382.94,27682.81,392770000
10/1/2020,27940.63,28041.46,27669.26,27816.9,373450000
9/30/2020,27514.64,28026.33,27511.06,27781.7,452550000
9/29/2020,27560.24,27605.6,27338.09,27452.66,303820000
9/28/2020,27362.14,27722.6,27362.14,27584.06,401860000
9/25/2020,26694.51,27239.29,26635.38,27173.96,388900000
9/24/2020,26716.09,27094.85,26537.01,26815.44,447810000
9/23/2020,27413.6,27464.46,26716.12,26763.13,459470000
9/22/2020,27170.34,27333.09,26989.93,27288.18,420720000
9/21/2020,27484.71,27484.71,26715.15,27147.7,523660000
9/18/2020,27864.87,27946.69,27487.97,27657.42,698710000
9/17/2020,27834.18,28056.79,27647.93,27901.98,437230000
9/16/2020,28031.69,28364.77,28021.67,28032.38,416650000
9/15/2020,28139.76,28231.06,27931.45,27995.6,414520000
9/14/2020,27718.74,28086.06,27718.74,27993.33,380750000
